accuracy,loss,val_accuracy,val_loss,learning_rate
0.6145331859588623,1.4256373643875122,0.7853881120681763,0.761954128742218,0.0010000000474974513
0.8402310013771057,0.6667205095291138,0.8561643958091736,0.46773552894592285,0.0010000000474974513
0.869586169719696,0.48988011479377747,0.8949771523475647,0.3667657673358917,0.0010000000474974513
0.9042348265647888,0.38807302713394165,0.931506872177124,0.30983492732048035,0.0010000000474974513
0.9167468547821045,0.32621079683303833,0.9337899684906006,0.2885740399360657,0.0010000000474974513
0.920596718788147,0.30351242423057556,0.9246575236320496,0.26984551548957825,0.0010000000474974513
0.924927830696106,0.28130391240119934,0.9383561611175537,0.2555261254310608,0.0010000000474974513
0.9210779666900635,0.27437663078308105,0.9337899684906006,0.24977461993694305,0.0010000000474974513
0.8614051938056946,0.5068921446800232,0.9018265008926392,0.25860413908958435,9.999999747378752e-05
0.9258902668952942,0.2749159634113312,0.9246575236320496,0.20838657021522522,9.999999747378752e-05
0.9350336790084839,0.2165350466966629,0.9178082346916199,0.20649854838848114,9.999999747378752e-05
0.9451395869255066,0.1833408623933792,0.9292237162590027,0.18087682127952576,9.999999747378752e-05
0.9523580074310303,0.14775818586349487,0.9452054500579834,0.16433732211589813,9.999999747378752e-05
0.9643888473510742,0.12808552384376526,0.9429223537445068,0.15556100010871887,9.999999747378752e-05
0.9740134477615356,0.11214611679315567,0.9360730648040771,0.16021862626075745,9.999999747378752e-05
0.9663137793540955,0.10674232989549637,0.9497717022895813,0.1443873643875122,9.999999747378752e-05
0.9744946956634521,0.09039690345525742,0.9406392574310303,0.15137553215026855,9.999999747378752e-05
0.9744946956634521,0.08780805766582489,0.9543378949165344,0.13047003746032715,9.999999747378752e-05
0.9802694916725159,0.07574251294136047,0.9520547986030579,0.13453342020511627,9.999999747378752e-05
0.9884504079818726,0.05936712771654129,0.9589040875434875,0.13069558143615723,9.999999747378752e-05
0.9826756715774536,0.06240119785070419,0.9589040875434875,0.13237163424491882,4.999999873689376e-05
0.9865254759788513,0.05297587439417839,0.9611872434616089,0.1296568065881729,4.999999873689376e-05
0.9860442876815796,0.05375048890709877,0.9543378949165344,0.12685644626617432,4.999999873689376e-05
0.9865254759788513,0.05203797295689583,0.9543378949165344,0.12466038018465042,4.999999873689376e-05
0.9860442876815796,0.050980404019355774,0.9589040875434875,0.12673544883728027,4.999999873689376e-05
0.9874879717826843,0.04800798371434212,0.956620991230011,0.12980695068836212,4.999999873689376e-05
0.9894129037857056,0.046087317168712616,0.9589040875434875,0.12822078168392181,2.499999936844688e-05
0.9879692196846008,0.048027921468019485,0.9589040875434875,0.12493593990802765,2.499999936844688e-05
